rma,part_no,part_description,vie_name
FMSV2022060030,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022060030,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022060030,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022060030,858Y200030D,VCA,Bộ phận kết nối tín hiệu
FMSV2022060030,68B1235415A,FCT RING,Vòng sắt
FMSV2022060030,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2022060030,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022060030,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022060030,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060033,848Y200213B,CHA-C688A,Đầu thu hình
FMSV2022060033,68B1235415A,FCT RING,Vòng sắt
FMSV2022060033,68A1304877A,FCT-C692A,Kênh sinh thiết
FMSV2022060033,370Y200585_,AW TUBE ASS'Y,Kênh khí nước
FMSV2022060033,68B12952250,WATER JET TUBE,Kênh nước phụ
FMSV2022060033,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022060033,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022060033,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022060033,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060037,343A1331613D,VIDEO CONNECTOR ASS’Y,Bộ phận kết nối tín hiệu
FMSV2022060037,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022060037,371Y200075_,NOZZLE,Vòi phun
FMSV2022060037,68B1141446A,RBS-G195A,Vỏ cao su
FMSV2022060037,110A1318460D,530 MICON PCB,Bo mạch
FMSV2022060037,110A1318464A,530 AFE PCB,Bo mạch
FMSV2022060038,28A1259770C,IRIS ASSY,Bộ điều khiển ánh sáng
FMSV2022060039,28A1259770C,IRIS ASSY,Bộ điều khiển ánh sáng
FMSV2022060053,343A13050790,ISA-G201A-6(AT/WT),Bộ phận thân ống soi
FMSV2022060053,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022060053,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060053,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022060053,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2022060053,110A13358630,NT TGCONT PCB,Bo mạch
FMSV2022060053,110A13358650,NT INTERFACE ROHS,Bo mạch
FMSV2022060054,606Y200046B,LG BUNDLE,Dây dẫn sáng
FMSV2022060054,370Y200600_,AIR TUBE,Kênh khí
FMSV2022060054,370Y200595_,WATER TUBE,Kênh nước
FMSV2022060054,57A12657080,CAP +UV ROHS,Nắp nhựa
FMSV2022060054,371Y200081_,NOZZLE,Vòi phun
FMSV2022060054,342A979721A,BSA-G166A,Bộ phận uốn cong
FMSV2022060054,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022060054,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022060054,68A9211632,FSA-G166A,Vỏ ống luồn
FMSV2022060054,23B1021211A,ISA RING 2,Vòng sắt
FMSV2022060054,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022060054,343A1295408G,LG FLEXIBLE SECTION ASSY ROHS,Vỏ ống dẫn
FMSV2022060054,68B9804212,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022060056,7A1296088B,LG-G391A,Dây dẫn sáng
FMSV2022060056,342A1295820D,BSA  G391A,
FMSV2022060056,68B9899262,RBS-G181A,Vỏ cao su
FMSV2022060056,23B1295823A,RING2 FG391A ROHS,Vòng sắt
FMSV2022060056,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022060056,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022060072,848Y200213B,CHA-C688A,Đầu thu hình
FMSV2022060072,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022070008,68B12541530,FCT RING,Vòng sắt
FMSV2022070008,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022070008,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022070008,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022070008,23B1276136A,ISA RING 2,Vòng sắt
FMSV2022070008,23B1040417A,ISA RING 1,Vòng sắt
FMSV2022070008,342A1295820E,BSA  G391A,
FMSV2022070008,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022070008,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022070008,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022070019,342A1295820E,BSA  G391A,
FMSV2022070019,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022070019,68B12541530,FCT RING,Vòng sắt
FMSV2022070019,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022070019,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022070019,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022070019,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022070019,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022070027,342A1295887J,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022070027,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022070027,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022070027,68A1295935D,FSA-C692A ROHS,Vỏ ống luồn
FMSV2022070027,23B8087081,ISA RING 2,Vòng sắt
FMSV2022070027,23B10404170,FSA RING,Vòng sắt
FMSV2022070027,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022070027,343A1331775B,VIDEO CONNECTOR ASS'Y,Bộ phận kết nối tín hiệu
FMSV2022070027,7A1295890A,LG FC692A ROHS,Dây dẫn sáng
FMSV2022070037,342A1295820E,BSA  G391A,
FMSV2022070037,68B9899262,RBS-G181A,Vỏ cao su
FMSV2022070037,68B12541530,FCT RING,Vòng sắt
FMSV2022070037,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022070037,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022070037,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022070037,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022070037,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022070037,42B12891190,SLIDE SLEEVE,Ống nối
FMSV2022070040,68B12541530,FCT RING,Vòng sắt
FMSV2022070040,68A1304928B,FCT-G391A,Kênh sinh thiết
FMSV2022070040,370Y200592_,AIR/WATER TUBE ASS''Y,Kênh khí nước
FMSV2022070040,68B1318113A,J TUBE,Kênh nước phụ
FMSV2022070040,342A1295820E,BSA  G391A,
FMSV2022070040,68B989926A,RBS-G181A,Vỏ cao su
FMSV2022070040,42B632243A,SLEEVE ROHS,Ống nối (đồng)
FMSV2022070040,54A379237A,NUT ASS'Y,Đai ốc (đồng)
FMSV2022070040,110A1289569E,S600 CTL PCB,Bo mạch
FMSV2022070046,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022070046,42B593410A,PIPE SLEEVE,Ống nối (đồng)
FMSV2022070046,54A3792370,NUT ASSY,Đai ốc (đồng)
FMSV2022070046,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022070047,342A1295887A,BENDING SECTION ASSY,Bộ phận uốn cong
FMSV2022070047,68B9893902,RUBBER FOR BSA ROHS,Vỏ cao su
FMSV2022070047,111M120151T_,SCREW,Ốc vít
FMSV2022070047,53B1015403A,SPECIAL SCREW,Ốc vít
FMSV2022070047,68A1295935A,FLEXIBLE SECTION ASSY,Vỏ ống luồn
FMSV2022070047,23B8087081,ISA RING 2,Vòng sắt
FMSV2022070047,60B10404180,O-RING,Vòng cao su
FMSV2022070047,23B10404170,FSA RING,Vòng sắt
FMSV2022070047,68B1235415A,FCT RING,Vòng sắt
FMSV2022070047,68A13048770,FCT ASSY FC692A ROHS,Kênh sinh thiết
