MODEL,SERIAL_NO,STATUS,Year,RECIEVE_DATE,Warranty,RMA No.
EG-600WR,2G391K858,3] PARTS SELECTION,2018,2023-09-28 16:56:33,No,FMSV2023090109
EG-600WR,2G391K861,3] PARTS SELECTION,2018,2023-09-28 18:29:03,No,FMSV2023090260
EC-590WL4,1C666K565,3] PARTS SELECTION,2019,2023-09-28 16:58:39,No,FMSV2023090123
EC-590WL4,1C666K566,3] PARTS SELECTION,2019,2023-09-28 17:16:00,No,FMSV2023090185
EC-590WL4,1C666K567,6] QC,2019,2023-11-15 13:23:52,No,FMSV2023110024
EC-590WL4,1C666K568,3] PARTS SELECTION,2019,2023-09-28 17:19:29,No,FMSV2023090195
EG-590WR,2G348K611,3] PARTS SELECTION,2019,2023-09-28 18:24:52,No,FMSV2023090236
EG-590WR,2G348K618,3] PARTS SELECTION,2019,2023-09-30 08:34:05,No,FMSV2023090231
EC-600WI,3C692K101,3] PARTS SELECTION,2020,2023-08-07 15:53:26,No,FMSV2023080024
EG-600WR,8G391K041,3] PARTS SELECTION,2020,2023-09-28 16:59:35,No,FMSV2023090129
EG-600WR,8G391K044,3] PARTS SELECTION,2020,2023-09-28 16:56:13,No,FMSV2023090107
VP-7000,5V644K138,3] PARTS SELECTION,2020,2023-09-30 08:35:40,No,FMSV2023090226
EC-600WI,5C692K022,3] PARTS SELECTION,2021,2023-09-08 13:59:05,No,FMSV2023090014
