MODEL,SERIAL_NO,STATUS,Year Installed,RECIEVE_DATE,Warranty,RMA No.,Price
EG-600WR,7G391K097,3] PARTS SELECTION,2021,9/28/2023 18:29,No,FMSV2023090262," $12,517 "
EG-600WR,7G391K123,3] PARTS SELECTION,2021,8/7/2023 13:42,No,FMSV2023080014," $3,963 "
EG-600WR,7G391K124,3] PARTS SELECTION,2021,9/28/2023 17:18,No,FMSV2023090193," $2,273 "
EG-600WR,7G391K125,3] PARTS SELECTION,2021,9/28/2023 18:31,No,FMSV2023090275," $4,810 "
EG-600WR,7G391K126,3] PARTS SELECTION,2021,9/28/2023 17:18,No,FMSV2023090192," $11,643 "
EG-600WR,7G391K127,3] PARTS SELECTION,2021,9/28/2023 17:14,No,FMSV2023090182," $2,557 "
EG-600WR,7G391K154,3] PARTS SELECTION,2021,9/28/2023 18:26,No,FMSV2023090248," $2,614 "
EG-600WR,7G391K156,3] PARTS SELECTION,2021,9/28/2023 18:30,No,FMSV2023090268," $9,380 "
EG-600WR,7G391K344,3] PARTS SELECTION,2021,8/21/2023 17:20,No,FMSV2023080075," $8,264 "
EG-600WR,7G391K347,3] PARTS SELECTION,2021,9/28/2023 18:32,No,FMSV2023090278," $11,649 "
EG-600WR,8G391K367,2] INSPECTION,2021,11/15/2023 13:25,No,FMSV2023110026," $14,091 "
EG-600WR,8G391K369,3] PARTS SELECTION,2021,9/21/2023 15:32,No,FMSV2023090049," $4,480 "
EG-600WR,8G391K370,2] INSPECTION,2021,11/15/2023 13:24,No,FMSV2023110025," $3,406 "
EG-600WR,8G391K371,3] PARTS SELECTION,2021,9/28/2023 18:28,No,FMSV2023090254," $10,764 "
EG-600WR,8G391K372,3] PARTS SELECTION,2021,9/28/2023 17:15,No,FMSV2023090183," $1,950 "
EG-600WR,8G391K373,3] PARTS SELECTION,2021,9/28/2023 17:13,No,FMSV2023090179," $5,477 "
EG-600WR,8G391K374,3] PARTS SELECTION,2021,9/28/2023 16:58,No,FMSV2023090120," $3,174 "
EG-600WR,8G391K375,2] INSPECTION,2021,11/15/2023 13:31,No,FMSV2023110029, $521 
EG-600WR,8G391K377,3] PARTS SELECTION,2021,9/8/2023 13:57,No,FMSV2023090012," $3,627 "
EG-600WR,8G391K379,3] PARTS SELECTION,2021,9/28/2023 18:30,No,FMSV2023090269," $10,672 "
EG-600WR,8G391K380,3] PARTS SELECTION,2021,9/28/2023 17:15,No,FMSV2023090184," $2,280 "
EG-600WR,8G391K381,3] PARTS SELECTION,2021,9/28/2023 17:08,No,FMSV2023090164," $3,094 "
EG-600WR,8G391K423,3] PARTS SELECTION,2021,9/28/2023 16:57,No,FMSV2023090118," $4,873 "
EG-600WR,8G391K425,3] PARTS SELECTION,2021,8/7/2023 13:42,No,FMSV2023080015," $3,250 "
EG-600WR,8G391K427,3] PARTS SELECTION,2021,9/28/2023 17:09,No,FMSV2023090165," $1,942 "
EG-600WR,8G391K428,3] PARTS SELECTION,2021,9/28/2023 16:58,No,FMSV2023090121," $4,516 "
EG-600WR,8G391K429,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090130," $15,119 "
EG-600WR,8G391K430,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090128," $4,516 "
EG-600WR,8G391K431,3] PARTS SELECTION,2021,9/28/2023 16:59,No,FMSV2023090131," $10,789 "
EG-600WR,8G391K432,3] PARTS SELECTION,2021,8/21/2023 17:19,No,FMSV2023080074," $4,978 "
EG-600WR,8G391K433,6] QC,2021,11/15/2023 13:32,No,FMSV2023110030, No found 
EG-600WR,8G391K437,3] PARTS SELECTION,2021,9/28/2023 17:10,No,FMSV2023090170," $10,507 "
EG-720R,3G412K081,3] PARTS SELECTION,2021,9/28/2023 17:09,No,FMSV2023090166," $3,266 "
EG-600WR,KG391K535,3] PARTS SELECTION,2023,11/15/2023 13:33,Yes,FMSV2023110031," $1,916 "
EG-600WR,KG391K536,4A] Waiting for Parts,2023,9/8/2023 13:56,Yes,FMSV2023090011,No found
